# Constructed from biom file							
#OTU ID	CL1	CL2	CL3	CP1	CP2	CP3	taxonomy
denovo65564	0	0	16	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo65564
denovo9808	6	1	1	2	1	5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo9808
denovo10053	1	5	2	6	1	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo10053
denovo34461	7	4	3	2	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo34461
denovo14811	2	1	1	5	2	5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo14811
denovo4508	1	0	0	1	10	4	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo4508
denovo2861	0	0	0	8	7	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo2861
denovo6663	1	0	0	5	7	3	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo6663
denovo7631	0	0	2	8	4	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo7631
denovo10221	0	1	0	13	0	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo10221
denovo6875	1	0	0	3	12	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo6875
denovo57281	0	3	8	5	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo57281
denovo2665	0	0	0	4	12	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo2665
denovo66116	0	0	16	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo66116
denovo12752	1	1	0	12	0	3	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo12752
denovo3340	0	0	2	5	10	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo3340
denovo42083	16	1	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo42083
denovo6763	0	0	0	4	13	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo6763
denovo64905	0	0	16	1	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo64905
denovo41675	13	1	2	1	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo41675
denovo15557	3	2	0	0	1	11	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo15557
denovo51184	0	0	0	17	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo51184
denovo12943	3	0	0	6	0	8	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo12943
denovo50895	0	1	5	11	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo50895
denovo24911	1	1	1	0	10	4	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo24911
denovo12970	3	3	0	3	2	6	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo12970
denovo12298	0	0	0	16	0	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo12298
denovo53996	0	3	8	6	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo53996
denovo9431	0	0	0	10	1	6	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo9431
denovo35169	5	10	0	2	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo35169
denovo12718	0	0	0	11	1	5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo12718
denovo2497	1	0	0	3	7	6	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo2497
denovo29487	1	1	0	0	1	14	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo29487
denovo52077	0	2	6	9	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo52077
denovo11018	3	2	0	8	1	3	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo11018
denovo2688	0	0	0	6	11	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo2688
denovo9708	0	0	0	16	0	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo9708
denovo7271	0	2	2	7	2	4	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo7271
denovo33538	14	2	1	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo33538
denovo32349	11	6	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo32349
denovo24923	3	5	0	0	4	5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo24923
denovo9545	4	0	0	1	1	11	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo9545
denovo28658	5	3	2	1	0	6	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo28658
denovo46251	6	1	8	2	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo46251
denovo51898	0	0	0	17	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo51898
denovo35320	6	8	0	3	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo35320
denovo48675	0	7	6	5	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo48675
denovo8368	3	2	1	4	2	6	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo8368
denovo1110	0	0	0	12	6	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo1110
denovo17041	3	2	4	1	2	6	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo17041
denovo51181	0	3	4	11	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo51181
denovo6733	0	0	0	1	17	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo6733
denovo7431	1	1	1	4	10	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo7431
denovo54158	0	5	2	11	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo54158
denovo8696	2	0	0	12	0	4	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo8696
denovo12887	1	0	0	4	2	11	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo12887
denovo7634	0	0	0	12	6	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo7634
denovo2333	1	0	0	3	13	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo2333
denovo4511	1	1	0	3	7	6	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo4511
denovo10612	3	1	2	5	3	4	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo10612
denovo30102	8	3	2	1	0	4	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo30102
denovo16771	2	0	1	0	3	12	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo16771
denovo22776	7	2	0	0	4	5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo22776
denovo47282	11	1	3	3	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo47282
denovo54370	0	7	10	1	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo54370
denovo23875	3	0	0	0	13	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo23875
denovo837	1	3	0	2	6	6	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo837
denovo56898	0	5	10	3	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo56898
denovo35279	8	3	6	1	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo35279
denovo42185	18	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo42185
denovo6159	3	0	0	3	9	3	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo6159
denovo52539	0	2	14	2	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo52539
denovo32482	11	1	4	2	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo32482
denovo13809	3	5	0	3	5	3	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo13809
denovo7497	1	0	1	8	3	6	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo7497
denovo15611	1	1	3	0	0	14	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo15611
denovo57606	0	1	18	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo57606
denovo32933	14	4	1	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo32933
denovo51074	0	0	9	10	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo51074
denovo7709	2	1	3	7	2	4	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo7709
denovo3754	0	0	0	1	18	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo3754
denovo17173	1	0	0	0	2	16	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo17173
denovo8611	2	1	0	12	2	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo8611
denovo1623	1	0	0	11	5	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo1623
